Designator,Mid X,Mid Y,Layer,Rotation
C1, 8.89,15.24,Top,90.0
C2,24.77,15.24,Top,270.0
C3,59.69,15.24,Top,90.0
C4,75.56,15.24,Top,270.0
C5,33.02,15.24,Top,90.0
C6,50.32,15.24,Top,270.0
C7, 7.62,31.75,Top,90.0
C8,10.16,31.75,Top,90.0
C9,27.94,31.75,Top,90.0
C10,30.48,31.75,Top,90.0
C11,48.90,31.75,Top,90.0
C12,50.16,31.75,Top,90.0
C13, 8.89, 8.89,Top,270.0
C14,59.69, 8.89,Top,270.0
C15,34.29, 8.89,Top,270.0
C16,69.22,31.75,Top,90.0
C17,70.80,31.75,Top,90.0
C18, 7.30,15.24,Top,90.0
C19,26.04,15.24,Top,90.0
C20,57.15,23.34,Top,270.0
C21,54.61, 8.89,Top,270.0
C22,76.84,15.24,Top,90.0
C23,27.46,25.88,Top,0.0
C24,46.99,21.75,Top,0.0
C25,46.99,25.24,Top,0.0
C26,54.61,21.75,Top,180.0
C27,54.61,25.24,Top,180.0
DA1,41.91,15.24,Top,0.0
DA2,16.51,15.24,Top,0.0
DA3,67.31,15.24,Top,0.0
IC1,35.24,23.50,Top,0.0
IC2,54.61,15.24,Top,180.0
IC3, 4.45,15.24,Top,0.0
IC4,50.80,23.50,Top,0.0
IC6,79.38,15.24,Top,0.0
IC8,10.16,31.75,Top,0.0
IC9,30.48,31.75,Top,0.0
IC10,50.80,31.75,Top,0.0
IC11,71.12,31.75,Top,0.0
IC14,29.21,15.24,Top,180.0
R1, 4.76, 6.83,Top,270.0
R2,12.70, 8.89,Top,90.0
R3,11.43, 8.89,Top,90.0
R4,10.16, 8.89,Top,90.0
R5,20.32, 8.89,Top,90.0
R6,21.59, 8.89,Top,90.0
R7,22.86, 8.89,Top,90.0
R8,20.32,15.24,Top,90.0
R9,21.59,15.24,Top,90.0
R10,22.86,15.24,Top,90.0
R11,12.70,15.24,Top,90.0
R12,11.43,15.24,Top,90.0
R13,10.16,15.24,Top,90.0
R14,63.50, 8.89,Top,90.0
R15,62.23, 8.89,Top,90.0
R16,60.96, 8.89,Top,90.0
R17,71.12, 8.89,Top,90.0
R18,72.39, 8.89,Top,90.0
R19,73.66, 8.89,Top,90.0
R20,71.12,15.24,Top,90.0
R21,72.39,15.24,Top,90.0
R22,73.66,15.24,Top,90.0
R23,63.50,15.24,Top,90.0
R24,62.23,15.24,Top,90.0
R25,60.96,15.24,Top,90.0
R26,39.37, 8.89,Top,90.0
R27,38.10, 8.89,Top,90.0
R28,35.56, 8.89,Top,90.0
R29,45.24, 8.89,Top,90.0
R30,46.36, 8.89,Top,90.0
R31,48.26, 8.89,Top,90.0
R32,45.40,15.24,Top,90.0
R33,46.51,15.24,Top,90.0
R34,48.10,15.24,Top,90.0
R35,38.10,15.24,Top,90.0
R36,36.83,15.24,Top,90.0
R37,35.56,15.24,Top,90.0
R38, 7.62, 8.89,Top,90.0
R39,58.42, 8.89,Top,90.0
R40,33.02, 8.89,Top,90.0
R41, 4.45,10.48,Top,0.0
R42,27.94,10.64,Top,0.0
R43,27.94,19.37,Top,0.0
R44, 4.45,20.00,Top,0.0
R45,55.88, 8.89,Top,90.0
R46,79.38,10.48,Top,0.0
R47,79.38,20.00,Top,0.0
R48,54.61,19.53,Top,180.0
R49,40.64, 8.89,Top,90.0
R50,43.18, 8.89,Top,90.0
R51,43.18,15.24,Top,90.0
R52,40.64,15.24,Top,90.0
R53,16.51,30.80,Top,0.0
R54,16.51,32.70,Top,0.0
R55,36.83,30.80,Top,0.0
R56,36.83,32.70,Top,0.0
R57,24.13,30.80,Top,180.0
R58,24.13,32.70,Top,180.0
R59, 3.81,30.80,Top,180.0
R60, 3.81,32.70,Top,180.0
R61,57.47,30.80,Top,180.0
R62,57.47,32.70,Top,180.0
R63,77.47,30.80,Top,0.0
R64,77.47,32.70,Top,0.0
R65,64.77,30.80,Top,180.0
R66,64.77,32.70,Top,180.0
R67,44.45,30.80,Top,0.0
R68,44.45,32.70,Top,0.0
R69,31.75, 8.89,Top,270.0
R70,30.48, 8.89,Top,270.0
R71,52.07, 8.89,Top,270.0
R72,53.34, 8.89,Top,270.0
R73,52.71,30.80,Top,0.0
R74,52.71,32.70,Top,0.0
R75,73.34,30.80,Top,0.0
R76,73.34,32.70,Top,0.0
R77,33.02,31.75,Top,270.0
R78,31.75,31.75,Top,270.0
R79,46.99,20.64,Top,0.0
R80,46.99,26.35,Top,0.0
R81,54.61,20.64,Top,180.0
R82,54.61,26.35,Top,180.0
SV1,30.48, 3.18,Top,0.0
SV3,71.12, 3.18,Top,0.0
SV4,50.80, 3.18,Top,0.0
SV33,10.16, 3.18,Top,0.0
