Comment,Designator,Footprint,LCSC Part #
0.33uF,C13 C15,C0603,C1615
5nF,C1 C5,C0402,C1538
22k,R9 R10 R11 R12 R26 R27 R28 R29,R0402,C25768
33k,R1 R2 R3 R4 R18 R19 R20 R21,R0402,C25779
36k,R5 R6 R7 R8 R14 R15 R16 R17 R22 R23 R24 R25 R31 R32 R33 R34,R0402,C25779
47k,R47 R48,R0402,C25792
78L09F,IC6,SOT89,C880736
79L09F,IC5,SOT89,C2880153
100R,R13 R30,R0402,C25076
100nF,C2 C3 C4 C6 C7 C9 C10 C11 C12 C16 C17,C0402,C307331
220k,R35 R36,R0402,C25767
CH446Q,IC7,LQFP-44-J,C109471
AS3364D,DA1 DA2,DIL16J,C72130
CON16,SV1,CON16,C2894996
TL072,IC1 IC2 IC3 IC4 IC30,TSSOP8J,C2652280
