Comment,Designator,Footprint,LCSC Part #
5nF,C5 C6 C16,C0402,C1538
1N4148,D1 D2,SOD323J,C2128
10k,R28,R0402,C25744
20k,R24 R26 R31 R32,R0402,C25765
22k,R9 R10 R11 R12 R33 R34 R40 R41 R42 R43,R0402,C25768
25k,R23 R27 R29 R30,R0402,C25874
33k,R1 R2 R3 R4 R14 R15 R35 R36 R37 R38,R0402,C25779
33pF,C7 C8,C0402,C1562
47k,R5 R6 R7 R8 R16 R18 R19 R20 R21 R22 R39,R0402,C25792
50k,R25,R0402,C25897
100R,R13 R17 R44,R0402,C25076
100nF,C1 C2 C3 C4 C9 C10 C11 C12 C13 C14 C15,C0402,C307331
AS3364D,DA1 DA2 DA3,DIL16J,C72130
MA07-1JP,U$4 U$5,SIP-PIN07-1J,C376125
MA08-1JP,SV2 SV3,SIP-PIN08-1J,C225494
MA15-1JP,SV1,SIP-PIN15-1J,C247916
TL072,IC1 IC2 IC3 IC4 IC5,SO08,C6961
