Designator,Mid X,Mid Y,Layer,Rotation
C1,20.00,10.48,Top,0.0
C2,40.01,25.40,Top,90.0
C3,35.56,25.40,Top,90.0
C4,31.12,25.40,Top,90.0
C5, 3.49,12.38,Top,180.0
C6,24.45,14.29,Top,0.0
C7,40.64,14.29,Top,180.0
C9,20.00,14.29,Top,180.0
C10, 3.81,14.29,Top,180.0
C11, 8.57,25.40,Top,90.0
C12, 4.13,25.40,Top,90.0
C13,31.12,30.16,Top,270.0
C15,31.12,20.96,Top,270.0
C16,24.45,25.40,Top,270.0
C17,10.48,25.40,Top,270.0
IC1, 1.91,25.40,Top,0.0
IC2, 6.35,25.40,Top,0.0
IC3,33.34,25.40,Top,0.0
IC4,37.78,25.40,Top,0.0
IC5,27.62,21.59,Top,90.0
IC6,27.62,28.89,Top,270.0
IC7,17.46,25.40,Top,0.0
IC30,42.23,25.40,Top,0.0
R1,15.56,14.29,Top,180.0
R2, 9.84,14.29,Top,180.0
R3, 9.84,10.48,Top,180.0
R4,15.56,10.48,Top,180.0
R5, 6.67,20.64,Top,90.0
R6, 2.22,20.64,Top,90.0
R7, 2.86,30.16,Top,270.0
R8, 7.30,30.16,Top,270.0
R9,13.02,14.29,Top,0.0
R10, 7.30,14.29,Top,0.0
R11, 7.30,10.48,Top,0.0
R12,13.02,10.48,Top,0.0
R13, 3.49,10.48,Top,180.0
R14, 6.03,30.16,Top,90.0
R15, 1.59,30.16,Top,90.0
R16, 0.95,20.64,Top,270.0
R17, 5.40,20.64,Top,270.0
R18,37.15,14.29,Top,180.0
R19,28.89,14.29,Top,0.0
R20,28.89,10.48,Top,0.0
R21,37.15,10.48,Top,180.0
R22,38.10,20.64,Top,90.0
R23,33.97,20.64,Top,90.0
R24,34.29,30.16,Top,270.0
R25,38.73,30.16,Top,270.0
R26,34.61,14.29,Top,0.0
R27,31.43,14.29,Top,180.0
R28,31.43,10.48,Top,180.0
R29,34.61,10.48,Top,0.0
R30,23.50,10.48,Top,0.0
R31,37.47,30.16,Top,90.0
R32,33.02,30.16,Top,90.0
R33,32.70,20.64,Top,270.0
R34,36.83,20.64,Top,270.0
R35,42.86,30.16,Top,270.0
R36,39.69,20.64,Top,270.0
R47,41.59,30.16,Top,90.0
R48,40.96,20.64,Top,90.0
