Designator,Mid X,Mid Y,Layer,Rotation
C1,11.75,22.54,Top,270.0
C2,11.75,28.26,Top,270.0
C3, 0.95,25.40,Top,90.0
C4,34.93,25.40,Top,90.0
C5, 9.53,13.34,Top,270.0
C6,33.34,22.23,Top,90.0
C7,38.42,30.16,Top,180.0
C8,47.31,28.26,Top,0.0
C9,31.12,13.02,Top,90.0
C10,31.12, 7.30,Top,90.0
C11,37.15, 5.08,Top,0.0
C12, 6.35,10.16,Top,270.0
C13,47.31,25.08,Top,180.0
C14,53.02,25.08,Top,180.0
C15,50.16,35.24,Top,0.0
C16,47.31, 3.49,Top,0.0
D1, 0.95,20.96,Top,270.0
D2, 4.45,20.00,Top,180.0
DA1,22.54,25.40,Top,180.0
DA2,20.32,10.16,Top,0.0
DA3,50.16,14.29,Top,90.0
IC1,37.78,10.16,Top,180.0
IC2, 2.86,10.16,Top,180.0
IC3, 4.45,25.40,Top,0.0
IC4,38.42,25.40,Top,0.0
IC5,50.16,31.75,Top,270.0
R1,24.45,12.07,Top,180.0
R2,16.19,12.07,Top,0.0
R3,16.19, 8.26,Top,0.0
R4,24.45, 8.26,Top,180.0
R5, 7.94,13.34,Top,90.0
R6,32.70,13.02,Top,90.0
R7,32.70, 7.30,Top,270.0
R8, 7.94, 6.99,Top,270.0
R9,21.91,12.07,Top,0.0
R10,18.73,12.07,Top,180.0
R11,18.73, 8.26,Top,180.0
R12,21.91, 8.26,Top,0.0
R13, 9.53, 6.99,Top,270.0
R14,22.54,23.50,Top,0.0
R15,22.54,27.30,Top,0.0
R16,38.42,31.43,Top,180.0
R17,33.34,28.89,Top,90.0
R18,27.30,31.43,Top,180.0
R19,30.80,31.43,Top,180.0
R20,29.21,23.50,Top,0.0
R21,29.21,27.30,Top,0.0
R22,35.88,31.43,Top,180.0
R23, 8.57,23.50,Top,180.0
R24, 8.57,20.96,Top,0.0
R25, 8.57,31.43,Top,180.0
R26, 8.57,22.23,Top,0.0
R27,36.51,20.00,Top,180.0
R28,16.19,19.37,Top,0.0
R29, 8.57,28.89,Top,180.0
R30, 8.57,27.62,Top,180.0
R31, 8.57,26.35,Top,0.0
R32, 8.57,30.16,Top,180.0
R33,25.72,23.50,Top,180.0
R34,25.72,27.30,Top,180.0
R35,48.26,18.41,Top,270.0
R36,48.26,10.16,Top,90.0
R37,52.07,10.16,Top,90.0
R38,52.07,18.41,Top,270.0
R39,47.31,26.67,Top,0.0
R40,48.26,15.88,Top,90.0
R41,48.26,12.70,Top,270.0
R42,52.07,12.70,Top,270.0
R43,52.07,15.88,Top,90.0
R44,53.02, 3.49,Top,0.0
SV1,20.64, 3.18,Top,0.0
SV2,30.80,33.34,Top,180.0
SV3,10.48,33.34,Top,180.0
U$4,57.15,26.99,Top,270.0
U$5,57.15, 9.21,Top,270.0
