Designator,Mid X,Mid Y,Layer,Rotation
C1, 6.35,13.34,Top,270.0
C2,34.29,13.02,Top,270.0
C3,34.29, 7.30,Top,90.0
C4, 7.62, 7.30,Top,90.0
C5,23.81,12.07,Top,0.0
C6,16.83,12.07,Top,180.0
C7,16.83, 8.26,Top,180.0
C8,23.81, 8.26,Top,0.0
C9,31.75,13.02,Top,90.0
C10,31.75, 7.30,Top,90.0
C11,37.15, 5.08,Top,0.0
C12, 6.35,10.16,Top,270.0
D1,20.32, 9.21,Top,90.0
IC1,37.78,10.16,Top,180.0
IC2, 2.86,10.16,Top,180.0
R1,29.21,12.07,Top,180.0
R2,11.43,12.07,Top,0.0
R3,11.43, 8.26,Top,0.0
R4,29.21, 8.26,Top,180.0
R5, 7.62,13.34,Top,270.0
R6,33.02,13.02,Top,270.0
R7,33.02, 7.30,Top,90.0
R8, 8.89, 7.30,Top,90.0
R9,26.67,12.07,Top,0.0
R10,13.97,12.07,Top,180.0
R11,13.97, 8.26,Top,180.0
R12,26.67, 8.26,Top,0.0
R13, 8.89,13.34,Top,90.0
