Comment,Designator,Footprint,LCSC Part #
0.33uF,C12 C13,C0603,C1615
5nF,C10 C11,C0402,C1538
22k,R2 R4 R6 R8 R10 R12 R14 R16,R0402,C25768
33k,R1 R3 R5 R7 R9 R11 R13 R15 R19 R20 R21 R22 R23 R24 R25 R26 R27 R28 R29 R30 R31 R32 R33 R34 R35 R36 R37 R38 R39 R40 R41 R42,R0402,C25779
47k,R45 R46,R0402,C25792
78L09F,IC1,SOT89,C880736
79L09F,IC2,SOT89,C2880153
100R,R17 R18,R0402,C25076
100nF,C1 C2 C3 C4 C5 C6 C7 C8 C9 C14 C15,C0402,C307331
220k,R43 R44,R0402,C25767
AS3364D,IC9 IC10,DIL16J,C72130
CH446Q,IC7,LQFP-44-J,
CON16,X1,CON16,C2894996
TL072JT,IC3 IC4 IC5 IC6 IC8,TSSOP8J,C2652280
