Designator,Mid X,Mid Y,Layer,Rotation
C1,24.45,14.29,Top,0.0
C2,40.64,14.29,Top,180.0
C3, 3.81,14.29,Top,180.0
C4,20.00,14.29,Top,180.0
C5, 4.13,25.72,Top,90.0
C6, 8.57,24.77,Top,90.0
C7,40.01,26.04,Top,90.0
C8,35.56,26.04,Top,90.0
C9,31.12,26.04,Top,90.0
C10, 3.49,12.38,Top,180.0
C11,20.00,10.48,Top,0.0
C12,30.48,30.80,Top,270.0
C13,30.48,21.59,Top,270.0
C14,10.48,26.04,Top,270.0
C15,24.45,26.04,Top,270.0
IC1,26.99,30.16,Top,270.0
IC2,26.99,21.59,Top,90.0
IC3, 6.35,26.04,Top,0.0
IC4, 1.91,26.04,Top,0.0
IC5,37.78,26.04,Top,0.0
IC6,33.34,26.04,Top,0.0
IC7,17.46,26.04,Top,0.0
IC8,42.23,26.04,Top,0.0
IC9,11.43,12.38,Top,0.0
IC10,33.02,12.38,Top,0.0
R1, 9.84,10.48,Top,180.0
R2, 7.30,10.48,Top,0.0
R3,15.56,10.48,Top,180.0
R4,13.02,10.48,Top,0.0
R5,15.56,14.29,Top,180.0
R6,13.02,14.29,Top,0.0
R7, 9.84,14.29,Top,180.0
R8, 7.30,14.29,Top,0.0
R9,28.89,10.48,Top,0.0
R10,31.43,10.48,Top,180.0
R11,37.15,10.48,Top,180.0
R12,34.61,10.48,Top,0.0
R13,37.15,14.29,Top,180.0
R14,34.61,14.29,Top,0.0
R15,28.89,14.29,Top,0.0
R16,31.43,14.29,Top,180.0
R17, 3.49,10.48,Top,180.0
R18,23.50,10.48,Top,0.0
R19, 3.18,30.80,Top,270.0
R20, 7.62,30.80,Top,270.0
R21, 7.62,21.27,Top,90.0
R22, 3.18,21.27,Top,90.0
R23,35.24,30.80,Top,270.0
R24,39.69,30.80,Top,270.0
R25,38.42,21.27,Top,90.0
R26,34.61,21.27,Top,90.0
R27, 1.91,30.80,Top,90.0
R28, 0.64,30.80,Top,90.0
R29, 5.08,30.80,Top,90.0
R30, 6.35,30.80,Top,90.0
R31, 5.08,21.27,Top,270.0
R32, 6.35,21.27,Top,270.0
R33, 0.64,21.27,Top,270.0
R34, 1.91,21.27,Top,270.0
R35,32.70,30.80,Top,90.0
R36,33.97,30.80,Top,90.0
R37,37.15,30.80,Top,90.0
R38,38.42,30.80,Top,90.0
R39,35.88,21.27,Top,270.0
R40,37.15,21.27,Top,270.0
R41,33.34,21.27,Top,270.0
R42,32.07,21.27,Top,270.0
R43,42.86,30.80,Top,270.0
R44,39.69,21.27,Top,270.0
R45,41.59,30.80,Top,90.0
R46,40.96,21.27,Top,90.0
X1,22.23, 4.76,Top,0.0
