Designator,Mid X,Mid Y,Layer,Rotation
C2,26.04,12.22,Top,270.0
C5,15.56,11.27,Top,0.0
C6, 8.57,11.27,Top,180.0
C7, 8.57, 7.46,Top,180.0
C8,15.56, 7.46,Top,0.0
C9,23.50,12.22,Top,90.0
C10,23.50, 6.51,Top,90.0
C11,26.04, 6.51,Top,270.0
D1,12.07, 8.73,Top,90.0
IC1,29.53, 9.37,Top,180.0
R1,20.96,11.27,Top,180.0
R2, 3.18,11.27,Top,0.0
R3, 3.18, 7.46,Top,0.0
R4,20.96, 7.46,Top,180.0
R6,24.77,12.22,Top,270.0
R9,18.41,11.27,Top,0.0
R10, 5.71,11.27,Top,180.0
R11, 5.71, 7.46,Top,180.0
R12,18.41, 7.46,Top,0.0
R13, 0.95,12.86,Top,90.0
